content,clean_emoji,language,compound,neg,neu,pos,vader_rating,keyword
"very fast response, and very helpful doctor","very fast response, and very helpful doctor",en,0.4754,0.0,0.66,0.34,1,"[('response helpful doctor', 0.7426), ('fast response helpful', 0.6012), ('fast', 0.3643), ('helpful', 0.3634), ('response', 0.3355)]"
easy to use,easy to use,en,0.4404,0.0,0.408,0.592,2,"[('easy use', 0.9507), ('use', 0.6445), ('easy', 0.5904)]"
"When my father are in needed his medicine, this app help me so much to make an order to his place while I'm on distance. Really kind of salvation.","when my father are in needed his medicine, this application help me so much to make an order to his place while i am on distance. really kind of salvation.",en,0.4019,0.0,0.912,0.088,1,"[('needed medicine application', 0.5946), ('really kind salvation', 0.3285), ('order place distance', 0.2657), ('father', 0.2554), ('needed', 0.1409)]"
"Very useful,, i can use wallet for payment","very useful,, i can use wallet for payment",en,0.4927,0.0,0.687,0.313,1,"[('useful use wallet', 0.7781), ('useful', 0.603), ('use wallet payment', 0.5704), ('use', 0.421), ('payment', 0.3705)]"
A really handy nedical app in Indonesia. Whenver i am ill i can just buy medicine without going out yo pharmacy. To add we can also consult with a doctor too. Really helpful apps,a really handy nedical application in indonesia. whenver i am ill i can just buy medicine without going out yo pharmacy. to add we can also consult with a doctor too. really helpful application,en,0.0754,0.074,0.844,0.082,1,"[('application indonesia', 0.6007), ('just buy medicine', 0.5007), ('add consult', 0.3762), ('really handy nedical', 0.2365), ('yo', 0.0069)]"
easy steps 👍🏻,easy steps,en,0.4404,0.0,0.674,0.326,1,"[('easy steps', 1.0), ('steps', 0.8413), ('easy', 0.6644)]"
good one. good experiencing using this app. keep on improving and inovating.,good one. good experiencing using this application. keep on improving and inovating.,en,0.8225,0.0,0.511,0.489,1,"[('application improving inovating', 0.6591), ('experiencing using application', 0.5666), ('good good experiencing', 0.3942), ('using', 0.3294), ('good', 0.2672)]"
Best doctor and medicine application on earth😎👍,best doctor and medicine application on earth,en,0.802,0.0,0.604,0.396,1,"[('doctor medicine application', 0.764), ('best doctor', 0.6855), ('medicine', 0.5378), ('earth', 0.2566), ('best', 0.1434)]"
Good service and also can order medicines that need receipe from doctor,good service and also can order medicines that need receipe from doctor,en,0.4404,0.0,0.791,0.209,1,"[('service order medicines', 0.7563), ('need receipe doctor', 0.6091), ('good service', 0.4414), ('need receipe', 0.3092), ('good', 0.0844)]"
"Life is simple, thankyou doc","life is simple, thankyou doc",en,0.0,0.0,1.0,0.0,0,"[('life simple thankyou', 0.7181), ('simple thankyou doc', 0.6391), ('life', 0.4612), ('doc', 0.4306), ('thankyou', 0.2843)]"
Very usefull when its midnite and u need talk to doctor from home.,very usefull when its midnite and you need talk to doctor from home.,en,0.0,0.0,1.0,0.0,0,"[('usefull midnite need', 0.6981), ('usefull', 0.4133), ('talk doctor home', 0.3853), ('need', 0.1832), ('home', 0.0968)]"
Thank you 💕💕💕,thank you,en,0.9468,0.0,0.206,0.794,2,"[('thank', 0.7705)]"
"Easy installation, easy to use, very practical when you need to find a particular medication in a foreign city and late at night, quick delivery.","easy installation, easy to use, very practical when you need to find a particular medication in a foreign city and late at night, quick delivery.",en,0.7003,0.0,0.799,0.201,1,"[('medication foreign city', 0.5257), ('easy installation easy', 0.4627), ('use practical', 0.3573), ('night quick delivery', 0.2719), ('need', 0.1053)]"
Very helpful and useful aplication.,very helpful and useful aplication.,en,0.7397,0.0,0.324,0.676,2,"[('helpful useful aplication', 0.8346), ('helpful useful', 0.7338), ('useful', 0.6155), ('helpful', 0.5971), ('aplication', 0.4634)]"
Very informative and usefull,very informative and usefull,en,0.0,0.0,1.0,0.0,0,"[('informative usefull', 0.8669), ('informative', 0.6869), ('usefull', 0.6082)]"
I realky love this app. Only 15 minutes for delivering mhy medicine.,i realky love this application. only 15 minutes for delivering mhy medicine.,en,0.6369,0.0,0.724,0.276,1,"[('delivering mhy medicine', 0.7257), ('application 15 minutes', 0.5409), ('minutes delivering', 0.4795), ('medicine', 0.3902), ('realky love', 0.1028)]"
Really helpful for busy worker,really helpful for busy worker,en,0.4754,0.0,0.564,0.436,1,"[('helpful busy worker', 0.8209), ('really helpful busy', 0.7652), ('really helpful', 0.5514), ('busy', 0.4792), ('really', 0.2285)]"
Sophisticated app with top notch service level,sophisticated application with top notch service level,en,0.6597,0.0,0.481,0.519,2,"[('service level', 0.6594), ('application notch service', 0.621), ('sophisticated application', 0.6102), ('notch', 0.2534), ('sophisticated', 0.2385)]"
Easy to use..fast response,easy to use..fast response,en,0.4404,0.0,0.508,0.492,1,"[('use fast response', 0.7779), ('easy use', 0.6558), ('fast', 0.4594), ('easy', 0.4291), ('response', 0.4159)]"
the best udah,the best udah,en,0.6369,0.0,0.323,0.677,2,"[('best udah', 0.9852), ('udah', 0.8419), ('best', 0.3676)]"
I am muh impressed on how fast we got response in a one time consultation. And Halomeds is also another plus point. Only better if we can pay with cash,i am muh impressed on how fast we got response in a one time consultation. and halomeds is also another plus point. only better if we can pay with cash,en,0.6808,0.041,0.785,0.174,1,"[('consultation halomeds plus', 0.7154), ('response time', 0.3028), ('better pay cash', 0.2779), ('plus point', 0.1565), ('impressed', 0.1045)]"
"Very easy to use, and make my life easier.thanks halodoc","very easy to use, and make my life easier.thanks halodoc",en,0.4927,0.0,0.738,0.262,1,"[('easy use', 0.685), ('thanks halodoc', 0.5115), ('life easier thanks', 0.4011), ('thanks', 0.2266), ('make life', 0.2059)]"
very helpful when we have a panic attack cause something happens at our body but scare to check directly.,very helpful when we have a panic attack because something happens at our body but scare to check directly.,en,-0.7546,0.333,0.587,0.08,-1,"[('helpful panic attack', 0.798), ('body scare check', 0.4482), ('helpful', 0.3067), ('check directly', 0.2275), ('attack happens', 0.1469)]"
"this app is very helpful, when i got a terrible allergic on my body, just ordered medicine on this app","this application is very helpful, when i got a terrible allergic on my body, just ordered medicine on this application",en,-0.2975,0.209,0.669,0.122,-1,"[('got terrible allergic', 0.5613), ('ordered medicine', 0.4817), ('application helpful', 0.4602), ('got', 0.1438), ('just', 0.0968)]"
It will be more nice if we only reach drivers around us. I stay in Seminyak and I got driver in Uluwatu. It's 1 hour to drive. I asked him to cancel because it's too far for him. I feel bad. But he still wants to deliver. So I really appreciate it.,it will be more nice if we only reach drivers around us. i stay in seminyak and i got driver in uluwatu. it is 1 hour to drive. i asked him to cancel because it is too far for him. i feel bad. but he still wants to deliver. so i really appreciate it.,en,0.5764,0.064,0.807,0.128,1,"[('uluwatu hour drive', 0.5957), ('reach drivers stay', 0.4485), ('stay seminyak got', 0.3612), ('cancel', 0.304), ('deliver really appreciate', 0.2524)]"
It really help me to buy drugs or vitamins when I can't go anywhere.,it really help me to buy drugs or vitamins when i cannot go anywhere.,en,0.4576,0.0,0.813,0.187,1,"[('buy drugs vitamins', 0.67), ('drugs', 0.3585), ('really help', 0.2194), ('buy', 0.1615), ('really', 0.1409)]"
May god bless this app,may god bless this application,en,0.5994,0.0,0.38,0.62,2,"[('god bless application', 0.8655), ('bless application', 0.7582), ('application', 0.5919), ('bless', 0.4273), ('god', 0.2735)]"
Helpful when we get sick and can not go anywhere,helpful when we get sick and can not go anywhere,en,-0.128,0.234,0.567,0.199,-1,"[('helpful sick', 0.7407), ('helpful', 0.4083), ('sick', 0.3144)]"
Very helpfulll... 👍👍👍,very helpfulll...,en,0.0,0.0,1.0,0.0,0,"[('helpfulll', 0.6048)]"
good app and very useful for whom not have much time...,good application and very useful for whom not have much time...,en,0.7264,0.0,0.596,0.404,1,"[('good application useful', 0.8388), ('application useful time', 0.6696), ('useful', 0.546), ('time', 0.1737), ('good', 0.1241)]"
Useful app totally love it,useful application totally love it,en,0.8122,0.0,0.289,0.711,2,"[('useful application totally', 0.8766), ('application totally love', 0.5986), ('useful', 0.559), ('love', 0.229), ('totally', 0.2006)]"
Easy to use especially during emergencies to buy medicine.,easy to use especially during emergencies to buy medicine.,en,0.4404,0.0,0.734,0.266,1,"[('use especially emergencies', 0.7115), ('medicine', 0.4489), ('easy', 0.2563), ('especially', 0.1411), ('buy', 0.0388)]"
"Love this application, you can immediately consult with the doctor without having to visit the hospital..","love this application, you can immediately consult with the doctor without having to visit the hospital..",en,0.6369,0.0,0.781,0.219,1,"[('visit hospital', 0.5983), ('immediately consult doctor', 0.5387), ('doctor having', 0.4176), ('application immediately', 0.4118), ('love', -0.0053)]"
I like this app. Very helpful and useful 👍,i like this application. very helpful and useful,en,0.8297,0.0,0.444,0.556,2,"[('application helpful useful', 0.5601), ('like application', 0.4299), ('useful', 0.3826), ('helpful', 0.3368), ('like', 0.0436)]"
Very user friendly dan sgt cepat proses pembelian obatnya gak bertele2! Thankyou halodoc..,very user friendly dan sgt cepat proses pembelian obatnya gak bertele2! thankyou halodoc..,en,0.5818,0.0,0.761,0.239,1,"[('obatnya gak bertele2', 0.6247), ('cepat proses', 0.4163), ('user friendly', 0.3954), ('dan sgt', 0.3606), ('thankyou halodoc', 0.3215)]"
It's very helpfull,it is very helpfull,en,0.0,0.0,1.0,0.0,0,"[('helpfull', 0.6349)]"
"That was amazing experience for medical consultation, good apps","that was amazing experience for medical consultation, good application",en,0.7717,0.0,0.511,0.489,1,"[('experience medical consultation', 0.7219), ('amazing experience', 0.4776), ('medical', 0.4043), ('application', 0.3374), ('good', 0.1719)]"
The dr. respons me nicely and directly describe what drugs I have to consume,the dr. respons me nicely and directly describe what drugs i have to consume,en,0.4404,0.0,0.818,0.182,1,"[('nicely directly drugs', 0.5585), ('drugs consume', 0.5211), ('dr respons', 0.4882), ('consume', 0.2537), ('respons nicely directly', 0.2059)]"
Fast delivery..simple..low cost delivery,fast delivery..simple..low cost delivery,en,0.0,0.0,1.0,0.0,0,"[('fast delivery simple', 0.9267), ('cost delivery', 0.7327), ('simple low cost', 0.521), ('fast', 0.3494), ('low', 0.1743)]"
Easy to use. Thanks,easy to use. thanks,en,0.7003,0.0,0.256,0.744,2,"[('easy use thanks', 0.8806), ('use thanks', 0.5587), ('use', 0.5191), ('easy', 0.4443), ('thanks', 0.2898)]"
Its great app,its great application,en,0.6249,0.0,0.328,0.672,2,"[('great application', 0.8848), ('application', 0.6026), ('great', 0.3014)]"
"Very helpful! But I think it will be easier if you make a little enhancement in the user interface to make it easier, but still it helped me a lot Kudos!","very helpful! but i think it will be easier if you make a little enhancement in the user interface to make it easier, but still it helped me a lot kudos!",en,0.938,0.0,0.651,0.349,1,"[('easier helped', 0.4472), ('user interface make', 0.2479), ('lot kudos', 0.2032), ('make little enhancement', 0.1986), ('user', 0.0763)]"
"Great experience, fast response from doctors, all kind of doctor available here, cheap price if we compare direct consultation with doctor at hospital","great experience, fast response from doctors, all kind of doctor available here, cheap price if we compare direct consultation with doctor at hospital",en,0.6249,0.0,0.843,0.157,1,"[('doctor available cheap', 0.7043), ('direct consultation', 0.4479), ('great experience', 0.2491), ('compare direct', 0.1981), ('available', 0.0528)]"
The doctor is nice,the doctor is nice,en,0.4215,0.0,0.517,0.483,1,"[('doctor nice', 0.8468), ('doctor', 0.6869), ('nice', 0.2372)]"
Thank you halodoc. This app really great.,thank you halodoc. this application really great.,en,0.7841,0.0,0.42,0.58,2,"[('thank halodoc application', 0.8609), ('application really great', 0.5179), ('really great', 0.2897), ('thank', 0.2707), ('really', 0.0271)]"
Simple & easy to use.,simple & easy to use.,en,0.4404,0.0,0.58,0.42,1,"[('simple easy use', 0.9035), ('easy use', 0.8018), ('simple easy', 0.6876), ('easy', 0.4878), ('use', 0.4809)]"
Amazing app and keep up the good work,amazing application and keep up the good work,en,0.7717,0.0,0.472,0.528,2,"[('amazing application good', 0.8244), ('good work', 0.4494), ('amazing', 0.3437), ('work', 0.2842), ('good', 0.1416)]"
im so in love with this app!!!,i am so in love with this application!!!,en,0.7472,0.0,0.528,0.472,1,"[('love application', 0.5689), ('application', 0.5375), ('love', 0.2091)]"
Amazing help people actually,amazing help people actually,en,0.7579,0.0,0.235,0.765,2,"[('amazing help people', 0.9139), ('help', 0.3675), ('amazing', 0.358), ('actually', 0.3348), ('people', 0.2927)]"
It was very helpful,it was very helpful,en,0.4754,0.0,0.492,0.508,2,"[('helpful', 0.6584)]"
Really helpfull and easy to use. Pove ot to the most. Thank you,really helpfull and easy to use. pove ot to the most. thank you,en,0.7146,0.0,0.649,0.351,1,"[('easy use pove', 0.6459), ('helpfull easy use', 0.6333), ('really helpfull', 0.4939), ('ot', 0.1898), ('really', 0.0583)]"
Very helpfull when you had sick,very helpfull when you had sick,en,-0.5106,0.398,0.602,0.0,-1,"[('helpfull sick', 0.7078), ('helpfull', 0.4923), ('sick', 0.4149)]"
Fast delivery and reliable,fast delivery and reliable,en,0.0,0.0,1.0,0.0,0,"[('fast delivery reliable', 0.9771), ('fast delivery', 0.8408), ('delivery', 0.6534), ('reliable', 0.5594), ('fast', 0.3874)]"
Very helpful app..,very helpful application..,en,0.4754,0.0,0.393,0.607,2,"[('helpful application', 0.8121), ('application', 0.6461), ('helpful', 0.5131)]"
A reliable and accessible first aid support,a reliable and accessible first aid support,en,0.4019,0.0,0.69,0.31,1,"[('reliable accessible aid', 0.7926), ('aid support', 0.6917), ('support', 0.3526), ('accessible', 0.3051), ('reliable', 0.2243)]"
Very very helpful,very very helpful,en,0.5222,0.0,0.372,0.628,2,"[('helpful', 0.7299)]"
"Very easy to use, great value app 👍🏻","very easy to use, great value application",en,0.8655,0.0,0.481,0.519,2,"[('easy use great', 0.7042), ('value application', 0.5694), ('use', 0.3933), ('great value', 0.336), ('easy', 0.3072)]"
"despite the great advice i got from the doctor, the app is really bugging the session i had with them. when i stayed on the chatroom, the chats from the doctor NEVER get into the chatrooms. so i feel so abandoned, yet thats not the reason. i had to leave and come into the chatrooms again so it would be refreshed. please fix this asap.","despite the great advice i got from the doctor, the application is really bugging the session i had with them. when i stayed on the chatroom, the chats from the doctor never get into the chatrooms. so i feel so abandoned, yet that is not the reason. i had to leave and come into the chatrooms again so it would be refreshed. please fix this as soon as possible.",en,-0.7236,0.117,0.851,0.032,-1,"[('chatroom chats doctor', 0.6379), ('bugging session stayed', 0.4066), ('feel abandoned reason', 0.2742), ('application', 0.2691), ('great advice', 0.0822)]"
Fast respon! Thank you!,fast respon! thank you!,en,0.4738,0.0,0.493,0.507,2,"[('fast respon thank', 0.833), ('fast respon', 0.6319), ('fast', 0.4483), ('respon', 0.4345), ('thank', 0.2935)]"
i love this app,i love this application,en,0.6369,0.0,0.417,0.583,2,"[('application', 0.6434), ('love application', 0.5005), ('love', 0.2609)]"
"So far this is good app, easy to use and fast response from doctor during online consultation. Recommended","so far this is good application, easy to use and fast response from doctor during online consultation. recommended",en,0.765,0.0,0.664,0.336,1,"[('doctor online consultation', 0.5955), ('far good application', 0.5528), ('use fast response', 0.322), ('recommended', 0.2182), ('easy', 0.0551)]"
very helpfull and easy user interface.. thank you 😍😍😍,very helpfull and easy user interface.. thank you,en,0.9282,0.0,0.506,0.494,1,"[('user interface thank', 0.6595), ('helpfull', 0.3561), ('easy', 0.2439), ('thank', 0.2136), ('user', 0.1252)]"
"It's veryy easy, and usefull! I'm so happy","it is veryy easy, and usefull! i am so happy",en,0.8374,0.0,0.431,0.569,2,"[('veryy easy usefull', 0.6482), ('usefull happy', 0.3932), ('easy', 0.3867), ('happy', 0.2468), ('veryy', 0.2261)]"
The application that really help us. If there emergency conditions so we know what we have to do and what madicent need and the most important on this application is we can live chatt and video call with the doctor.,the application that really help us. if there emergency conditions so we know what we have to do and what madicent need and the most important on this application is we can live chatt and video call with the doctor.,en,0.3582,0.058,0.828,0.114,1,"[('help emergency conditions', 0.6394), ('application really', 0.4301), ('video doctor', 0.3649), ('know madicent need', 0.2814), ('live', 0.0971)]"
Help me a lot!,help me a lot!,en,0.4574,0.0,0.501,0.499,1,"[('help lot', 0.647), ('help', 0.6094), ('lot', 0.3247)]"
very helpful app. love it,very helpful application. love it,en,0.8204,0.0,0.284,0.716,2,"[('helpful application', 0.723), ('application', 0.5708), ('helpful', 0.4469), ('application love', 0.4347), ('love', 0.1934)]"
Very helpful app,very helpful application,en,0.4754,0.0,0.393,0.607,2,"[('helpful application', 0.9036), ('application', 0.7185), ('helpful', 0.5717)]"
Make life much more easier,make life much more easier,en,0.4754,0.0,0.564,0.436,1,"[('make life easier', 0.9601), ('make life', 0.6413), ('easier', 0.5376), ('life', 0.5128), ('make', 0.209)]"
This is a very good application and really trying to simplify the healthcare... Excellent job Halodoc team... Keep it up!,this is a very good application and really trying to simplify the healthcare... excellent job halodoc team... keep it up!,en,0.8012,0.0,0.715,0.285,1,"[('excellent job halodoc', 0.6168), ('simplify healthcare', 0.4691), ('application', 0.3738), ('team', 0.1194), ('really', 0.0364)]"
Good and easy to use the app by ordering medicine. Love it. Thanks halodoc,good and easy to use the application by ordering medicine. love it. thanks halodoc,en,0.9169,0.0,0.437,0.563,2,"[('application ordering medicine', 0.5798), ('easy use', 0.5344), ('use application', 0.4276), ('thanks halodoc', 0.2883), ('good', 0.1726)]"
Very good application,very good application,en,0.4927,0.0,0.385,0.615,2,"[('good application', 0.9049), ('application', 0.6912), ('good', 0.3263)]"
Simple and helpfull,simple and helpfull,en,0.0,0.0,1.0,0.0,0,"[('simple helpfull', 0.9273), ('helpfull', 0.7299), ('simple', 0.5257)]"
The best medical app. I can chat with doctor and consult about my lab results. I also can buy medicines and other medical equipments within less than 1 hour delivery. The price is also reasonable.,the best medical application. i can chat with doctor and consult about my lab results. i also can buy medicines and other medical equipments within less than 1 hour delivery. the price is also reasonable.,en,0.6369,0.0,0.89,0.11,1,"[('best medical application', 0.7815), ('results buy', 0.3149), ('hour delivery price', 0.2814), ('consult lab results', 0.2495), ('chat', 0.0709)]"
Nice app and good response,nice application and good response,en,0.6908,0.0,0.345,0.655,2,"[('nice application good', 0.8196), ('application good response', 0.7337), ('application', 0.5579), ('response', 0.4472), ('good', 0.2416)]"
Easy to use. And helpfull 😍,easy to use. and helpfull,en,0.7096,0.0,0.543,0.457,1,"[('easy use helpfull', 0.8638), ('easy use', 0.7433), ('helpfull', 0.5538), ('use', 0.4936), ('easy', 0.3666)]"
Very good platform to ask about health issue before we go to hospital. Professional answer and friendly. Thank you,very good platform to ask about health issue before we go to hospital. professional answer and friendly. thank you,en,0.8357,0.0,0.643,0.357,1,"[('platform ask health', 0.777), ('hospital professional', 0.4805), ('good platform', 0.3561), ('issue', 0.1701), ('friendly thank', 0.1654)]"
Good and fast,good and fast,en,0.4404,0.0,0.408,0.592,2,"[('good fast', 0.7898), ('fast', 0.7393), ('good', 0.5425)]"
Good app. So helpful,good application. so helpful,en,0.7178,0.0,0.25,0.75,2,"[('good application helpful', 0.8938), ('good application', 0.8199), ('application', 0.6154), ('helpful', 0.5643), ('good', 0.2202)]"
"This app helped me so much, thank youu especially Dr Hendra,Sp.KK💙😇","this application helped me so much, thank youu especially dr hendra,sp.okay",en,0.8744,0.0,0.584,0.416,1,"[('application helped thank', 0.5604), ('especially dr hendra', 0.4827), ('thank', 0.1677), ('sp okay', 0.0996), ('youu', 0.0427)]"
"I'm not sure is it scam or not. I went to the pharmacy to give the prescription, and then the halodoc spg said that the queue takes around 3 hours, so she offer the halodoc medication delivery. Turns out it's being delivered in the next day.","i am not sure is it scam or not. i went to the pharmacy to give the prescription, and then the halodoc spg said that the queue takes around 3 hours, so she offer the halodoc medication delivery. turns out it is being delivered in the next day.",en,-0.687,0.114,0.886,0.0,-1,"[('halodoc medication delivery', 0.7303), ('sure scam', 0.3655), ('queue takes hours', 0.1786), ('spg', 0.15), ('turns', -0.0109)]"
Easy to use and very helpful,easy to use and very helpful,en,0.7178,0.0,0.4,0.6,2,"[('easy use helpful', 0.867), ('easy use', 0.8045), ('helpful', 0.4966), ('use', 0.4882), ('easy', 0.3883)]"
helps me a lot,helps me a lot,en,0.3818,0.0,0.536,0.464,1,"[('helps lot', 0.7524), ('helps', 0.6895), ('lot', 0.454)]"
"a really helpful application. thankyou for your hardwork, team and doctor!❤️","a really helpful application. thankyou for your hardwork, team and doctor!",en,0.5244,0.0,0.78,0.22,1,"[('helpful application thankyou', 0.6722), ('hardwork team doctor', 0.4058), ('really helpful', 0.3427), ('thankyou', 0.2839), ('really', 0.0233)]"
"Doctor so kind, helpfull thankyou","doctor so kind, helpfull thankyou",en,0.5709,0.0,0.52,0.48,1,"[('doctor kind helpfull', 0.808), ('kind helpfull thankyou', 0.4553), ('doctor', 0.3855), ('thankyou', 0.2576), ('kind', 0.2187)]"
Love this app. We can consult with any kind doctor that we need. We can get prescription & medicine delivery in just one click. It's really helpful for me as a mom.,love this application. we can consult with any kind doctor that we need. we can get prescription & medicine delivery in just one click. it is really helpful for me as a mom.,en,0.8932,0.0,0.731,0.269,1,"[('prescription medicine delivery', 0.603), ('love application consult', 0.4321), ('consult kind doctor', 0.2789), ('helpful mom', 0.2265), ('just click really', 0.1625)]"
Very useful application when I need to see a doctor in hospital. No need queueing,very useful application when i need to see a doctor in hospital. no need queueing,en,0.2484,0.12,0.707,0.174,1,"[('hospital need queueing', 0.7765), ('application need doctor', 0.5715), ('doctor hospital', 0.5598), ('useful application', 0.5127), ('need', 0.181)]"
Very simple and helping.. thanks a lot,very simple and helping.. thanks a lot,en,0.6557,0.0,0.482,0.518,2,"[('simple helping thanks', 0.6799), ('simple', 0.4165), ('helping', 0.2601), ('thanks', 0.1545), ('lot', 0.0399)]"
"Rate 5! I need doctor at 03:00 AM cant go to hospital, this app really help me much to consultate directly with real doctor ! im not a bot and im not getting paid to rate and comment but this app is helping alot of people, im one of them ! thanks halodoc :)","rate 5! i need doctor at 03:00 am cannot go to hospital, this application really help me much to consultate directly with real doctor ! i am not a bot and i am not getting paid to rate and comment but this application is helping alot of people, i am one of them ! thanks halodoc :)",en,0.9263,0.0,0.787,0.213,1,"[('rate need doctor', 0.705), ('bot getting paid', 0.1857), ('people thanks halodoc', 0.1735), ('comment application', 0.1649), ('directly real', 0.0894)]"
Very helpful application,very helpful application,en,0.4754,0.0,0.393,0.607,2,"[('helpful application', 0.9036), ('application', 0.7185), ('helpful', 0.5717)]"
So far i don't find any problem using this app. This app help me to buy medicine that i want. All i just need to do is just sit at home and wait my medicine arrived.,so far i do not find any problem using this application. this application help me to buy medicine that i want. all i just need to do is just sit at home and wait my medicine arrived.,en,0.6437,0.0,0.841,0.159,1,"[('using application application', 0.5002), ('wait medicine arrived', 0.4024), ('just sit', 0.0836), ('far problem using', 0.0565), ('help buy', -0.0861)]"
"i cant chat with doctors. ""something went wrong"" message appears everytime i click chat with any doctor. i like the service overall but very disappointed with the app.","i cannot chat with doctors. ""something went wrong"" message appears everytime i click chat with any doctor. i like the service overall but very disappointed with the application.",en,-0.7086,0.199,0.749,0.052,-1,"[('click chat doctor', 0.7442), ('wrong message appears', 0.383), ('service overall disappointed', 0.3085), ('application', 0.2338), ('like', 0.0354)]"
"Easy to use, thx","easy to use, thanks",en,0.6597,0.0,0.27,0.73,2,"[('easy use thanks', 0.8939), ('use thanks', 0.5709), ('use', 0.4971), ('easy', 0.4369), ('thanks', 0.3051)]"
Good app. Gk rugi download apk ini,good application. gk rugi download apk ini,en,0.4404,0.0,0.674,0.326,1,"[('rugi download apk', 0.8423), ('good application', 0.5478), ('ini', 0.3819), ('download', 0.3794), ('gk', 0.29)]"
what an excellent application that help me so much. thanks halodoc. drnya jg ramah2.,what an excellent application that help me so much. thanks halodoc. drnya jg ramah2.,en,0.8617,0.0,0.535,0.465,1,"[('excellent application help', 0.6957), ('help thanks halodoc', 0.3795), ('halodoc drnya', 0.3692), ('jg ramah2', 0.3012), ('thanks', 0.1846)]"
Really helpful 👍👍👍👍,really helpful,en,0.4754,0.0,0.744,0.256,1,"[('really helpful', 1.0), ('helpful', 0.8208), ('really', 0.311)]"
Good app and I will try again for other medical consultation.,good application and i will try again for other medical consultation.,en,0.4404,0.0,0.775,0.225,1,"[('application try medical', 0.6686), ('consultation', 0.4796), ('good application', 0.4739), ('try', 0.2486), ('good', 0.2176)]"
"Definitely, a helpful app","definitely, a helpful application",en,0.6705,0.0,0.267,0.733,2,"[('definitely helpful application', 0.8869), ('helpful application', 0.7422), ('application', 0.5641), ('helpful', 0.4361), ('definitely', 0.4247)]"
Easy to use,easy to use,en,0.4404,0.0,0.408,0.592,2,"[('easy use', 0.9507), ('use', 0.6445), ('easy', 0.5904)]"
"Nice experience, worth to try","nice experience, worth to try",en,0.5719,0.0,0.39,0.61,2,"[('nice experience worth', 0.7371), ('experience worth try', 0.6402), ('try', 0.3761), ('worth', 0.325), ('nice', 0.2879)]"
"Very Helpful, when U can't go directly to the pharmacy...","very helpful, when you cannot go directly to the pharmacy...",en,0.4754,0.0,0.744,0.256,1,"[('helpful directly pharmacy', 0.7719), ('pharmacy', 0.4889), ('helpful directly', 0.4447), ('helpful', 0.3946), ('directly', 0.1438)]"
Clear and communicative,clear and communicative,en,0.3818,0.0,0.435,0.565,2,"[('clear communicative', 0.9813), ('communicative', 0.8154), ('clear', 0.6213)]"
Very helpfull !,very helpfull !,en,0.0,0.0,1.0,0.0,0,"[('helpfull', 0.6857)]"
It's good app,it is good application,en,0.4404,0.0,0.408,0.592,2,"[('good application', 0.8421), ('application', 0.6276), ('good', 0.2444)]"
"good apps, bisa chat dokter gratis, mantap","good application, bisa chat dokter gratis, mantap",en,0.4767,0.0,0.549,0.451,1,"[('application bisa chat', 0.7286), ('dokter gratis mantap', 0.5835), ('chat dokter', 0.566), ('good application', 0.5484), ('good', 0.1455)]"
All clear. Thanks,all clear. thanks,en,0.6705,0.0,0.154,0.846,2,"[('clear thanks', 0.7936), ('clear', 0.565), ('thanks', 0.3159)]"
comfy enough to order med from distance..thx..,comfy enough to order med from distance..thanks..,en,0.0,0.0,1.0,0.0,0,"[('comfy order med', 0.7264), ('comfy', 0.5717), ('order med distance', 0.5458), ('distance thanks', 0.3283), ('thanks', 0.1949)]"
Nice and helpfull,nice and helpfull,en,0.4215,0.0,0.417,0.583,2,"[('nice helpfull', 0.804), ('helpfull', 0.7913), ('nice', 0.3917)]"
Helpfull application and combined with fast delivery & payment gateway,helpfull application and combined with fast delivery & payment gateway,en,0.0,0.0,1.0,0.0,0,"[('delivery payment gateway', 0.7484), ('helpfull application combined', 0.6168), ('fast delivery', 0.5259), ('application', 0.3774), ('combined fast', 0.1975)]"
So helpful and cute display,so helpful and cute display,en,0.7474,0.0,0.321,0.679,2,"[('helpful cute display', 0.8482), ('helpful cute', 0.632), ('display', 0.5199), ('cute', 0.424), ('helpful', 0.4049)]"
"Very good service collaboration, our time is the most value we can get from this good service","very good service collaboration, our time is the most value we can get from this good service",en,0.8504,0.0,0.602,0.398,1,"[('good service collaboration', 0.8191), ('collaboration time value', 0.5625), ('value good', 0.375), ('good', 0.1931), ('time value', 0.1493)]"
Great app ever...,great application ever...,en,0.6249,0.0,0.328,0.672,2,"[('great application', 0.7583), ('application', 0.5808), ('great', 0.272)]"
Really helpful. Fast response.,really helpful. fast response.,en,0.4754,0.0,0.492,0.508,2,"[('really helpful fast', 0.7634), ('helpful fast response', 0.7109), ('response', 0.3928), ('fast', 0.3677), ('really', 0.2059)]"
Thanks so much uts help me.,thanks so much uts help me.,en,0.7063,0.0,0.406,0.594,2,"[('thanks uts help', 0.8864), ('thanks uts', 0.7529), ('uts', 0.7291), ('thanks', 0.2232), ('help', 0.2033)]"
Thanks for help me,thanks for help me,en,0.6808,0.0,0.263,0.737,2,"[('thanks help', 0.8143), ('help', 0.5593), ('thanks', 0.3223)]"
Nice app. Very helpful,nice application. very helpful,en,0.7089,0.0,0.253,0.747,2,"[('nice application helpful', 0.8932), ('application helpful', 0.6011), ('application', 0.4642), ('helpful', 0.4627), ('nice', 0.2595)]"
